Name,Organization_NPI,ABCD,Office_Email,Office_Hours,Apple_Health,Signed_up_to_Dentistlink,Facility_Type,Provider_Type,Delta_Dental_of_WA,Adult,Pediatric,Orthodontics,Dentures,Extractions,Billing_Address_Line_1,Billing_City,Billing_Zip/Postal_Code,Billing State/Province,Account_Owner,Latitude,Longitude,Google_Maps_link,sp_id
APPLE PEDIATRIC DENTISTRY LLC-Bellingham,,1,appledentalreception@gmail.com,,1,1,Private,Pediatric,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,3100 SQUALICUM PKWY STE 103,BELLINGHAM,98225,WA,Kristen West,48.771731,-122.471209,http://maps.google.com/maps?&z=10&q=48.7717308+-122.47120910000001&ll=48.7717308+-122.47120910000001,31
Kid's Dental,1134583917,0,info@tacomakidsdental.com,,1,1,Private,Dentist,1,Not Accepting,Appointment Only,Appointment Only,Not Accepting,,5401 6th Ave #201-a,Tacoma,98406,WA,Jaime Arana,47.256437,-122.508885,http://maps.google.com/maps?&z=10&q=47.25643669999999+-122.50888520000001&ll=47.25643669999999+-122.50888520000001,32
APPLE PEDIATRIC DENTISTRY LLC-Ferndale,127585802,0,appledentalreception@gmail.com,,1,1,Private,Pediatric,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,2141 WASHINGTON ST STE 102,FERNDALE,98248,WA,Konstanza Von Sternberg,48.85015,-122.597914,http://maps.google.com/maps?&z=10&q=48.85014959999999+-122.59791359999997&ll=48.85014959999999+-122.59791359999997,33
Parkland Denture Center,,0,,,1,1,Private,Denturist,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,12502 Pacific Ave South,Tacoma,98444,WA,Jaime Arana,47.143066,-122.43499,http://maps.google.com/maps?&z=10&q=47.1430659+-122.4349901&ll=47.1430659+-122.4349901,34
Small To Tall Pediatric Dentistry,1598979866,1,info@smalltotall.info,,1,1,,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,3422 12th Ave NE,Olympia,98506,WA,Karen Davis,47.056341,-122.847227,http://maps.google.com/maps?&z=10&q=47.0563409+-122.84722720000002&ll=47.0563409+-122.84722720000002,35
Bellevue Family Dentistry,1295188837,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1299 156th Ave. NE  #115,Bellevue,98007,WA,Jaime Arana,47.620899,-122.133264,http://maps.google.com/maps?&z=10&q=47.6208986+-122.13326369999999&ll=47.6208986+-122.13326369999999,36
Little Pearls Kids Dentistry-Des Moines,,0,littlepearlskidsdentistry@gmail.com,,1,1,Private,Pediatric,1,Not Accepting,Appointment Only,Appointment Only,Not Accepting,,22506 Marine View Dr S,Des Moines,98198,WA,Jaime Arana,47.400145,-122.324205,http://maps.google.com/maps?&z=10&q=47.4001451+-122.32420509999997&ll=47.4001451+-122.32420509999997,37
Teresa Connors,1528055365,1,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,911 11th Ave STE D,Longview,98632,WA,Konstanza Von Sternberg,46.129931,-122.934658,http://maps.google.com/maps?&z=10&q=46.1299311+-122.9346577&ll=46.1299311+-122.9346577,38
Meridian Denture Center,,0,,,1,1,Private,Denturist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,14619 Meridian E #A,Puyallup,98375,WA,Jaime Arana,47.123334,-122.292511,http://maps.google.com/maps?&z=10&q=47.1233337+-122.29251149999999&ll=47.1233337+-122.29251149999999,39
Complete Dental Care,,1,info@completedentalspokane.com,Standard Office Hours:  Tuesday-Friday 8:00AM to 5:00PM,1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"707 W Francis, Ste 100",Spokane,99205,WA,Karen Davis,47.714863,-117.422323,http://maps.google.com/maps?&z=10&q=47.7148625+-117.4223227&ll=47.7148625+-117.4223227,40
Advanced Dental Care,,0,,,0,0,Non-FQHC,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,18323 BOTHELL EVERETT HWY Suite 340,Mill Creek,98012,WA,Konstanza Von Sternberg,47.831211,-122.208124,http://maps.google.com/maps?&z=10&q=47.83121080000001+-122.20812360000002&ll=47.83121080000001+-122.20812360000002,41
Advanced Dentistry- Renton,,1,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,4311 NE Sunset Blvd,Renton,98059,WA,Konstanza Von Sternberg,47.503726,-122.161724,http://maps.google.com/maps?&z=10&q=47.5037259+-122.16172410000001&ll=47.5037259+-122.16172410000001,42
Coulter Family Dentistry,1366744773,0,,"Office hours; Mon-Thurs Standard ? 8am-5pm Morning ? before 8am Tues-Thurs, Evening ? Before 3pm Mon, Evenings-before 4:30PM One Tues/Month, 9:30AM-6:30PM",1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,1601 S. Dishman Mica Rd,Spokane Valley,99206,WA,Karen Davis,47.642207,-117.273088,http://maps.google.com/maps?&z=10&q=47.6422069+-117.27308820000002&ll=47.6422069+-117.27308820000002,43
Bird Family Dentistry,1902134307,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,"4707 S Junett, Suite A",Tacoma,98409,WA,Konstanza Von Sternberg,47.214665,-122.474617,http://maps.google.com/maps?&z=10&q=47.2146649+-122.47461659999999&ll=47.2146649+-122.47461659999999,44
Heritage Health Center Inc,1922030444,0,,,0,1,Non-FQHC,Dentist,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,20696 Bond Rd. Suite 110,Poulsbo,98370,WA,Karen Davis,47.750612,-122.649061,http://maps.google.com/maps?&z=10&q=47.7506115+-122.6490612&ll=47.7506115+-122.6490612,45
"Nathan Bird, DMD, Family Dentistry",1083877104,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,26323 72nd Ave. NW,Stanwood,98292,WA,Konstanza Von Sternberg,48.235721,-122.329733,http://maps.google.com/maps?&z=10&q=48.2357205+-122.32973279999999&ll=48.2357205+-122.32973279999999,46
Perfect Smile Dentistry,1649725748,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1510 SE EVERETT MALL WAY Suite C,Everett,98208,WA,Konstanza Von Sternberg,47.912235,-122.212582,http://maps.google.com/maps?&z=10&q=47.9122354+-122.21258160000002&ll=47.9122354+-122.21258160000002,47
Maple Valley Dentistry Professionals,1023338522,1,maplevalleydentist@msn.com,,1,0,Non-FQHC,Dentist,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,24015 SE Kent Kangley Road Suite C,Maple Valley,98038-6802,WA,Konstanza Von Sternberg,47.360887,-122.021939,http://maps.google.com/maps?&z=10&q=47.36088669999999+-122.02193850000003&ll=47.36088669999999+-122.02193850000003,48
Wildwood Dental,1659580249,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1617 183rd Street SE,Mill Creek,98012,WA,Konstanza Von Sternberg,47.832449,-122.209976,http://maps.google.com/maps?&z=10&q=47.83244879999999+-122.2099761&ll=47.83244879999999+-122.2099761,49
Sea Mar CHC- Seattle,1386691467,1,,,1,0,FQHC,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,1040 S. Henderson St,Seattle,98108,WA,Konstanza Von Sternberg,47.523936,-122.318488,http://maps.google.com/maps?&z=10&q=47.52393619999999+-122.31848819999999&ll=47.52393619999999+-122.31848819999999,50
Smiles Dental- Lacey,,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,7046 Pacific Ave SE,Lacey,,WA,Konstanza Von Sternberg,47.041884,-122.786812,http://maps.google.com/maps?&z=10&q=47.04188449999999+-122.786812&ll=47.04188449999999+-122.786812,51
Tim Wandell DDS,,1,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,401 7th St.,Hoquiam,,WA,Konstanza Von Sternberg,46.977313,-123.886015,http://maps.google.com/maps?&z=10&q=46.9773128+-123.88601460000001&ll=46.9773128+-123.88601460000001,52
"Naghmeh J Izadi, DMD",1104049154,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,4100 194th SW Suite 210,Lynnwood,98036,WA,Konstanza Von Sternberg,47.82249,-122.28868,http://maps.google.com/maps?&z=10&q=47.8224895+-122.28867960000002&ll=47.8224895+-122.28867960000002,53
Fifth Avenue Dentistry,,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,104 W. 5th Ave. Suite 360 E,Spokane,99204,WA,Konstanza Von Sternberg,47.651739,-117.41411,http://maps.google.com/maps?&z=10&q=47.651739+-117.41411049999999&ll=47.651739+-117.41411049999999,54
Soft Care Dental,1740366319,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,13322 HWY 99 S STE202,Everett,,WA,Konstanza Von Sternberg,47.877015,-122.270617,http://maps.google.com/maps?&z=10&q=47.8770152+-122.27061650000002&ll=47.8770152+-122.27061650000002,55
Pacific NW Dentistry,1235547175,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,110 D St SE,Auburn,98002,WA,Konstanza Von Sternberg,47.306427,-122.223646,http://maps.google.com/maps?&z=10&q=47.3064266+-122.2236464&ll=47.3064266+-122.2236464,56
Wheatland Family Dental,1891718342,1,office@wheatlandfamily.dental,,1,0,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,1750 Portland Avenue,Walla Walla,99362-2228,WA,Konstanza Von Sternberg,46.075782,-118.310378,http://maps.google.com/maps?&z=10&q=46.0757819+-118.31037800000001&ll=46.0757819+-118.31037800000001,57
"Allen Kirkpatrick, DDS",1053404178,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,116 N Main St,Colfax,,WA,Konstanza Von Sternberg,46.881469,-117.364525,http://maps.google.com/maps?&z=10&q=46.8814688+-117.36452529999997&ll=46.8814688+-117.36452529999997,58
Lemperes Family Dentistry,1215010657,1,alemperes@yahoo.com,,1,0,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,3300 Squalicum Pkwy Ste 100,Bellingham,98225,WA,Konstanza Von Sternberg,48.771784,-122.469694,http://maps.google.com/maps?&z=10&q=48.7717837+-122.4696945&ll=48.7717837+-122.4696945,59
Liljas Dental,,1,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,421 West Pioneer,Puyallup,98371,WA,Konstanza Von Sternberg,47.190605,-122.298758,http://maps.google.com/maps?&z=10&q=47.190605+-122.29875759999999&ll=47.190605+-122.29875759999999,60
Lee Family Dental,1619336518,1,,,1,0,Non-FQHC,Dentist,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,416 NE 87th Ave Ste 3,Vancouver,98664,WA,Konstanza Von Sternberg,45.624144,-122.584047,http://maps.google.com/maps?&z=10&q=45.6241443+-122.58404740000003&ll=45.6241443+-122.58404740000003,61
Stayner Dental,1609954817,0,,,0,0,,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,7407 47TH AVE NE,Marysville,,WA,Konstanza Von Sternberg,48.063258,-122.167247,http://maps.google.com/maps?&z=10&q=48.0632576+-122.16724650000003&ll=48.0632576+-122.16724650000003,62
Northwest Pediatric Dentistry-Leilani,,0,,,0,0,Non-FQHC,Pediatric,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,10241 Greenwood Ave N,Seattle,98133,WA,Konstanza Von Sternberg,47.703495,-122.355674,http://maps.google.com/maps?&z=10&q=47.7034947+-122.3556744&ll=47.7034947+-122.3556744,63
Saratoga Dental,1821431503,1,smile@saratoga-dental.com,,1,0,,Dentist,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,742 Camano Ave #101a,Langley,98260,WA,Konstanza Von Sternberg,48.034792,-122.401754,http://maps.google.com/maps?&z=10&q=48.03479220000001+-122.4017538&ll=48.03479220000001+-122.4017538,64
Dental Health Center- Dr. Phan,1699989103,1,,,1,0,Private,Dentist,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,1305 S 312th St Ste 201,Federal Way,98003,WA,Konstanza Von Sternberg,47.322172,-122.316234,http://maps.google.com/maps?&z=10&q=47.3221717+-122.31623360000003&ll=47.3221717+-122.31623360000003,65
"Larry Swisher, DDS",1194869784,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1310 N Grant St,Kennewick,99336,WA,Konstanza Von Sternberg,46.224661,-119.193921,http://maps.google.com/maps?&z=10&q=46.224661+-119.19392119999998&ll=46.224661+-119.19392119999998,66
Excellent Dental Care Center Tacoma,123527935,1,,,1,0,Non-FQHC,Dentist,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,1212 South 11th Street,Tacoma,98405,WA,Konstanza Von Sternberg,47.251573,-122.454321,http://maps.google.com/maps?&z=10&q=47.2515732+-122.4543208&ll=47.2515732+-122.4543208,67
Troy Family Dental,1750825394,1,info@troyfamilydental.net,,1,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1118 Ocean Beach Hwy.,Longview,98632,WA,Konstanza Von Sternberg,46.146779,-122.930727,http://maps.google.com/maps?&z=10&q=46.1467789+-122.93072660000001&ll=46.1467789+-122.93072660000001,68
Comfort Dental- Tacoma,1326334178,1,cdtacoma@gmail.com,,1,0,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"3820 Pacific Avenue, Suite 101",Tacoma,98418-7825,WA,Konstanza Von Sternberg,47.222097,-122.434514,http://maps.google.com/maps?&z=10&q=47.2220973+-122.43451440000001&ll=47.2220973+-122.43451440000001,69
Piper Pediatric Dentistry,1427208925,0,,,0,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,3120 Howe Place #100,Bellingham,98226,WA,Konstanza Von Sternberg,48.771847,-122.447603,http://maps.google.com/maps?&z=10&q=48.771847+-122.44760300000002&ll=48.771847+-122.44760300000002,70
Quality Dental Care,1972941094,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,2701 NE 114th Ave #6,Vancouver,98684,WA,Konstanza Von Sternberg,45.641995,-122.555492,http://maps.google.com/maps?&z=10&q=45.6419947+-122.5554917&ll=45.6419947+-122.5554917,71
Main Station Dental,1881727592,0,,,0,0,Non-FQHC,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,111 West Main Street Suite A,Puyallup,98371,WA,Konstanza Von Sternberg,47.191992,-122.294569,http://maps.google.com/maps?&z=10&q=47.1919921+-122.29456930000003&ll=47.1919921+-122.29456930000003,72
North Star Pediatric Dentistry,1134572977,0,,,0,0,Non-FQHC,Pediatric,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,"16708 Bothell-Everett Highway, Suite 203",Mill Creek,98012,WA,Konstanza Von Sternberg,47.846229,-122.217095,http://maps.google.com/maps?&z=10&q=47.8462286+-122.21709499999997&ll=47.8462286+-122.21709499999997,73
Ryan Chuang Family Dentistry DDS,1093843922,0,,,0,0,,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,3830 COLBY AVE,Everett,,WA,Konstanza Von Sternberg,47.9662,-122.208389,http://maps.google.com/maps?&z=10&q=47.9662003+-122.20838860000003&ll=47.9662003+-122.20838860000003,74
Rothbauer Dental,1689898991,1,nkr.dds.office@gmail.com,,1,0,Private,Dentist,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,12502 Vernon Ave SW,Lakewood,98489,WA,Konstanza Von Sternberg,47.144184,-122.560103,http://maps.google.com/maps?&z=10&q=47.1441838+-122.56010329999998&ll=47.1441838+-122.56010329999998,75
Seattle Children's Odessa Brown,1467536276,1,contracting@seattleschildrens.org,,1,0,,Pediatric,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,4800 Sand Point Way NE,Seattle,98105,WA,Konstanza Von Sternberg,47.662638,-122.283265,http://maps.google.com/maps?&z=10&q=47.66263780000001+-122.28326500000003&ll=47.66263780000001+-122.28326500000003,76
Silverdale Dental Center,1225122104,1,silverdaledental@hotmail.com,,1,0,Non-FQHC,Dentist,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,3637 NW Byron Street,Silverdale,98383-9127,WA,Konstanza Von Sternberg,47.644259,-122.698389,http://maps.google.com/maps?&z=10&q=47.644259+-122.69838920000001&ll=47.644259+-122.69838920000001,77
